City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Atuona,PF,78.4,few clouds,-9.8,-139.0333,Villa Enata
7,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
10,Labuhan,ID,75.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
11,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
13,Thai Binh,VN,86.0,overcast clouds,20.45,106.3333,Sweden Hotel
17,Banff,CA,84.58,clear sky,51.1762,-115.5698,Banff Aspen Lodge
23,Old Orchard Beach,US,77.43,overcast clouds,43.5173,-70.3775,Marvin Gardens Motel
29,Nizwa,OM,85.86,overcast clouds,22.9333,57.5333,Orient Apartments
31,Batticaloa,LK,81.91,overcast clouds,7.7102,81.6924,Grand Star Guest House
33,Ormara,PK,83.25,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
36,Erenhot,CN,76.95,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
38,Zupanja,HR,76.98,broken clouds,45.0775,18.6975,Apartmani Baotić
42,Victoria,HK,87.33,few clouds,22.2855,114.1577,Mini Hotel Central
45,Jamestown,US,80.1,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Faanui,PF,79.61,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Butaritari,KI,83.95,clear sky,3.0707,172.7902,Isles Sunset Lodge
50,Mairi,BR,76.5,broken clouds,-11.7114,-40.1489,Pousada Solar do Monte
53,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
56,Georgetown,MY,80.55,scattered clouds,5.4112,100.3354,Cititel Penang
62,Vila Velha,BR,78.96,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
65,Albany,US,84.45,moderate rain,42.6001,-73.9662,
74,San Borja,BO,84.06,overcast clouds,-14.8167,-66.85,
77,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Namatanai,PG,79.99,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
87,Seoul,KR,78.24,clear sky,37.5683,126.9778,롯데호텔 서울
90,Amahai,ID,76.15,moderate rain,-3.3333,128.9167,HOTEL ISABELA
97,Dingle,PH,76.33,light rain,10.9995,122.6711,SEGAYA PROPERTY
100,Nago,JP,83.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
106,Tutoia,BR,79.59,scattered clouds,-2.7619,-42.2744,Pousada Guará's
110,Kulhudhuffushi,MV,81.77,broken clouds,6.6221,73.07,Hondaafushi Island Resort
112,Sao Filipe,CV,75.13,broken clouds,14.8961,-24.4956,Hotel Xaguate
113,Herat,AF,78.89,clear sky,34.5,62.0,
114,Lianzhou,CN,76.24,scattered clouds,24.7811,112.3825,Qingcheng Tourism Industry
120,Veraval,IN,81.93,overcast clouds,20.9,70.3667,Lords Inn Somnath
122,Bela,IN,87.35,broken clouds,25.9333,81.9833,Raj Bhawan
123,Palmer,US,88.32,broken clouds,42.1584,-72.3287,Wedgewood Motel
124,Sompeta,IN,80.98,broken clouds,18.9333,84.6,Netaji's Home
126,Plainview,US,89.06,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
128,Bonthe,SL,76.23,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
130,Guerrero Negro,MX,81.03,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
131,Urucui,BR,86.47,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
132,Buchanan,LR,75.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
136,Shingu,JP,76.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
138,Lorengau,PG,81.45,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
143,Taoyuan,CN,84.0,broken clouds,32.2972,120.6167,Wenming Restaurant
146,Beyneu,KZ,81.77,clear sky,45.3167,55.2,NUR
149,Kunjah,PK,84.24,scattered clouds,32.5285,73.9737,Ali BaBa
151,Misratah,LY,81.41,clear sky,32.3754,15.0925,فندق الماسة
152,Komsomolskiy,UZ,77.72,scattered clouds,40.4272,71.7189,Ikathouse
154,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
159,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
160,Hirara,JP,84.0,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
164,Cape Canaveral,US,87.06,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
165,Thompson,CA,84.72,few clouds,55.7435,-97.8558,Burntwood Hotel
167,Iowa City,US,86.14,few clouds,41.6611,-91.5302,Hampton Inn Iowa City/University Area
169,Bandarbeyla,SO,78.75,broken clouds,9.4942,50.8122,JABIR HOTEL
175,Palora,EC,82.38,moderate rain,-1.7,-77.9333,Rancho grande
177,Goundam,ML,82.85,broken clouds,16.4145,-3.6708,
179,Fazilka,IN,88.7,clear sky,30.4,74.0333,Hotel Gulmarg
