City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Morristown,US,36.214,-83.2949,87.46,58,25,5.86,scattered clouds
1,Burns Lake,CA,54.2331,-125.7533,77.92,24,54,8.28,broken clouds
2,Hervey Bay,AU,-25.2986,152.8535,66.04,90,62,1.01,broken clouds
3,Adrar,MR,20.5022,-10.0711,101.05,12,48,8.97,scattered clouds
4,Santa Lucia,ES,27.9117,-15.5407,68.76,68,20,31.07,few clouds
5,Busselton,AU,-33.65,115.3333,49.08,60,92,28.43,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,31.66,80,75,4.61,broken clouds
7,Kapaa,US,22.0752,-159.319,82.38,80,90,5.01,light rain
8,Yellowknife,CA,62.456,-114.3525,75.29,49,100,8.32,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,73.06,71,0,8.93,clear sky
10,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,0,10.36,clear sky
11,Nikolskoye,RU,59.7035,30.7861,76.89,90,100,2.73,overcast clouds
12,Hasaki,JP,35.7333,140.8333,72.28,91,96,7.09,overcast clouds
13,Vaini,TO,-21.2,-175.2,73.56,88,90,8.05,overcast clouds
14,Castro,BR,-24.7911,-50.0119,59.79,63,44,4.16,scattered clouds
15,Ovalle,CL,-30.5983,-71.2003,64.71,44,0,3.74,clear sky
16,Maralal,KE,1.0968,36.698,60.01,84,100,3.85,light rain
17,Cherskiy,RU,68.75,161.3,57.74,62,39,13.58,scattered clouds
18,Poltavka,RU,54.3663,71.7632,46.04,95,100,15.46,light rain
19,Sisimiut,GL,66.9395,-53.6735,44.04,91,96,6.58,overcast clouds
20,Port Hardy,CA,50.6996,-127.4199,61.12,76,28,8.77,scattered clouds
21,Kruisfontein,ZA,-34.0033,24.7314,45.97,58,22,5.68,few clouds
22,Grand Gaube,MU,-20.0064,57.6608,70.38,68,95,3.0,overcast clouds
23,Bluff,NZ,-46.6,168.3333,43.81,65,84,10.38,broken clouds
24,Thompson,CA,55.7435,-97.8558,84.72,21,22,4.16,few clouds
25,Hilo,US,19.7297,-155.09,85.28,64,75,4.61,broken clouds
26,Sao Joao Do Piaui,BR,-8.3581,-42.2467,84.81,35,6,6.35,clear sky
27,Awbari,LY,26.5921,12.7805,90.72,17,0,5.61,clear sky
28,Pochutla,MX,15.7432,-96.4661,87.82,53,100,3.02,overcast clouds
29,Salinopolis,BR,-0.6136,-47.3561,79.56,81,13,12.37,few clouds
30,Barrow,US,71.2906,-156.7887,33.82,80,20,8.05,few clouds
31,Albany,US,42.6001,-73.9662,86.09,79,28,7.85,scattered clouds
32,Dhidhdhoo,MV,6.8833,73.1,81.81,82,95,16.22,overcast clouds
33,Santa Cruz De Tenerife,ES,28.4682,-16.2546,79.56,54,20,8.99,few clouds
34,Develi,TR,38.3906,35.4922,65.55,58,0,3.83,clear sky
35,Lagoa,PT,39.05,-27.9833,68.63,83,100,14.09,overcast clouds
36,Vao,NC,-22.6667,167.4833,68.68,65,92,19.71,overcast clouds
37,Hovd,MN,48.0056,91.6419,65.19,48,85,6.89,light rain
38,Hokitika,NZ,-42.7167,170.9667,53.8,90,100,12.55,overcast clouds
39,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,87,75,32.21,broken clouds
40,Boueni,YT,-12.9025,45.0761,71.58,68,2,11.65,clear sky
41,Chuy,UY,-33.6971,-53.4616,53.74,97,100,9.51,light rain
42,Bredasdorp,ZA,-34.5322,20.0403,45.72,81,95,3.44,overcast clouds
43,Krasnoselkup,RU,65.7,82.4667,42.82,71,92,10.83,overcast clouds
44,La Ferte-Bernard,FR,48.1863,0.6536,67.62,91,36,6.53,scattered clouds
45,Kavaratti,IN,10.5669,72.642,82.69,83,97,19.89,overcast clouds
46,Ust-Ilimsk,RU,58.0006,102.6619,61.32,75,97,3.18,overcast clouds
47,Grong,NO,64.4654,12.3149,65.48,87,83,3.29,broken clouds
48,North Vanlaiphai,IN,23.1333,93.0667,61.75,99,78,0.72,broken clouds
49,Senekal,ZA,-28.3197,27.6208,35.82,47,0,8.03,clear sky
50,Bonthe,SL,7.5264,-12.505,76.23,87,100,6.87,overcast clouds
51,Seymchan,RU,62.8833,152.4333,64.99,59,100,8.19,overcast clouds
52,Puerto Ayora,EC,-0.7393,-90.3518,82.36,76,57,12.21,broken clouds
53,Norman Wells,CA,65.282,-126.8329,58.6,67,95,12.44,overcast clouds
54,Lapeer,US,43.0514,-83.3188,86.4,51,40,9.22,scattered clouds
55,Mataura,NZ,-46.1927,168.8643,43.48,94,76,2.28,broken clouds
56,Punta Arenas,CL,-53.15,-70.9167,39.31,93,90,13.8,light intensity drizzle
57,Ortona,IT,42.3496,14.4039,74.46,72,0,3.02,clear sky
58,Tiksi,RU,71.6872,128.8694,44.29,60,88,19.13,overcast clouds
59,Sibu,MY,2.3,111.8167,75.51,88,40,3.0,light rain
60,West Wendover,US,40.7391,-114.0733,90.61,15,1,9.22,clear sky
61,Tasiilaq,GL,65.6145,-37.6368,39.36,95,100,1.52,overcast clouds
62,Eyrarbakki,IS,63.863,-21.1481,51.04,88,60,25.75,broken clouds
63,Makakilo City,US,21.3469,-158.0858,82.72,66,90,5.75,overcast clouds
64,Port Moresby,PG,-9.4431,147.1797,74.62,94,90,3.44,fog
65,Butaritari,KI,3.0707,172.7902,83.95,75,4,12.46,clear sky
66,Anchorage,US,61.2181,-149.9003,63.86,70,1,1.99,clear sky
67,Cobija,BO,-11.0267,-68.7692,91.58,52,75,8.05,broken clouds
68,New Norfolk,AU,-42.7826,147.0587,47.75,89,96,1.97,overcast clouds
69,Avarua,CK,-21.2078,-159.775,78.85,78,75,9.22,broken clouds
70,Araripina,BR,-7.5761,-40.4983,75.36,58,10,9.1,clear sky
71,Leningradskiy,RU,69.3833,178.4167,46.2,87,98,5.84,overcast clouds
72,Cam Ranh,VN,11.9214,109.1591,76.96,100,0,8.05,clear sky
73,Hermanus,ZA,-34.4187,19.2345,49.89,80,82,7.94,broken clouds
74,Fairbanks,US,64.8378,-147.7164,63.23,82,90,11.5,light rain
75,La Ronge,CA,55.1001,-105.2842,74.01,33,3,8.08,clear sky
76,Los Llanos De Aridane,ES,28.6585,-17.9182,70.12,87,20,16.11,few clouds
77,Serenje,ZM,-13.2325,30.2352,55.85,54,9,4.43,clear sky
78,Norton,ZW,-17.8833,30.7,53.74,85,57,11.21,broken clouds
79,Te Anau,NZ,-45.4167,167.7167,45.0,93,100,0.76,overcast clouds
80,Bethel,US,41.3712,-73.414,88.81,69,40,1.99,scattered clouds
81,Severo-Kurilsk,RU,50.6789,156.125,52.48,94,100,17.11,moderate rain
82,Chokurdakh,RU,70.6333,147.9167,40.46,92,100,18.54,light rain
83,Port Elizabeth,ZA,-33.918,25.5701,43.09,87,0,5.75,clear sky
84,Berezovyy,RU,51.6667,135.7,66.69,100,100,2.19,light rain
85,Geraldton,AU,-28.7667,114.6,61.21,59,75,17.27,broken clouds
86,Tuktoyaktuk,CA,69.4541,-133.0374,38.07,74,100,20.27,overcast clouds
87,Ponta Do Sol,PT,32.6667,-17.1,72.72,81,1,6.29,clear sky
88,Erenhot,CN,43.6475,111.9767,76.95,46,100,1.88,overcast clouds
89,Atuona,PF,-9.8,-139.0333,78.4,63,14,23.38,few clouds
90,Coihaique,CL,-45.5752,-72.0662,43.41,65,75,5.75,light intensity shower rain
91,Klaksvik,FO,62.2266,-6.589,52.72,90,84,25.03,broken clouds
92,Mpwapwa,TZ,-6.35,36.4833,62.4,92,23,5.28,few clouds
93,Yavaros,MX,26.7,-109.5167,99.45,48,1,10.67,clear sky
94,Sept-Iles,CA,50.2001,-66.3821,61.25,93,100,1.99,overcast clouds
95,Vila Velha,BR,-20.3297,-40.2925,78.96,71,0,10.36,clear sky
96,Beringovskiy,RU,63.05,179.3167,56.61,72,9,8.08,clear sky
97,Selty,RU,57.3132,52.1345,56.07,69,63,0.43,broken clouds
98,Parana,AR,-31.732,-60.5238,52.57,99,100,12.84,overcast clouds
