City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-07-14 14:51:24,-46.1927,168.8643,46.47,93,100,6.96
1,Saint-Pierre,RE,2021-07-14 14:51:24,-21.3393,55.4781,73.08,72,75,11.5
2,Saint-Philippe,RE,2021-07-14 14:51:24,-21.3585,55.7679,72.99,84,46,14.67
3,Nikolskoye,RU,2021-07-14 14:51:25,59.7035,30.7861,89.49,48,90,4.27
4,Rikitea,PF,2021-07-14 14:50:09,-23.1203,-134.9692,72.84,71,1,8.28
5,Green River,US,2021-07-14 14:51:25,41.5286,-109.4662,69.19,27,61,10.56
6,Vao,NC,2021-07-14 14:51:26,-22.6667,167.4833,68.34,57,77,18.05
7,Vostok,RU,2021-07-14 14:51:26,46.4856,135.8833,69.17,92,100,3.42
8,Ushuaia,AR,2021-07-14 14:51:26,-54.8,-68.3,28.06,86,20,6.91
9,Albany,US,2021-07-14 14:51:26,42.6001,-73.9662,80.53,82,91,4.03
10,Zarate,AR,2021-07-14 14:47:11,-34.0981,-59.0286,54.01,92,100,9.46
11,Shestakovo,RU,2021-07-14 14:51:27,56.4915,103.96,62.73,73,100,5.06
12,Lamtah,TN,2021-07-14 14:51:27,35.6667,10.8833,85.75,54,0,17.27
13,Ostrovnoy,RU,2021-07-14 14:51:28,68.0531,39.5131,51.57,96,100,6.93
14,Yellowknife,CA,2021-07-14 14:51:28,62.456,-114.3525,69.3,82,40,1.99
15,Cherskiy,RU,2021-07-14 14:51:28,68.75,161.3,42.22,86,0,7.65
16,Atuona,PF,2021-07-14 14:51:29,-9.8,-139.0333,77.94,66,78,21.88
17,Barrow,US,2021-07-14 14:51:29,71.2906,-156.7887,33.82,86,90,10.36
18,Kodiak,US,2021-07-14 14:51:29,57.79,-152.4072,53.11,76,90,6.91
19,Bluff,NZ,2021-07-14 14:51:30,-46.6,168.3333,46.8,65,100,21.32
20,Busselton,AU,2021-07-14 14:51:30,-33.65,115.3333,48.04,67,98,28.45
21,Nanortalik,GL,2021-07-14 14:51:30,60.1432,-45.2371,50.18,73,11,13.62
22,Port Elizabeth,ZA,2021-07-14 14:50:44,-33.918,25.5701,59.29,47,0,9.22
23,Salalah,OM,2021-07-14 14:51:31,17.0151,54.0924,80.55,82,100,3.83
24,Cockburn Town,TC,2021-07-14 14:51:31,21.4612,-71.1419,82.36,65,40,11.5
25,Farafangana,MG,2021-07-14 14:51:31,-22.8167,47.8333,69.42,83,0,8.52
26,Petropavlovsk-Kamchatskiy,RU,2021-07-14 14:51:32,53.0452,158.6483,64.99,82,75,4.47
27,Imbituba,BR,2021-07-14 14:51:32,-28.24,-48.6703,72.82,58,99,4.63
28,Portland,US,2021-07-14 14:50:03,45.5234,-122.6762,62.69,82,90,1.01
29,Punta Arenas,CL,2021-07-14 14:51:33,-53.15,-70.9167,37.51,93,90,14.97
30,Tuktoyaktuk,CA,2021-07-14 14:51:33,69.4541,-133.0374,42.8,93,90,20.71
31,Thompson,CA,2021-07-14 14:51:33,55.7435,-97.8558,62.76,63,75,3.44
32,Avarua,CK,2021-07-14 14:51:34,-21.2078,-159.775,77.05,83,40,9.22
33,New Norfolk,AU,2021-07-14 14:51:34,-42.7826,147.0587,48.76,88,85,1.39
34,Chimore,BO,2021-07-14 14:51:34,-16.9833,-65.1333,82.2,55,97,2.77
35,Coquimbo,CL,2021-07-14 14:51:35,-29.9533,-71.3436,55.13,66,90,3.44
36,Hasaki,JP,2021-07-14 14:51:35,35.7333,140.8333,73.8,90,100,8.55
37,Dalvik,IS,2021-07-14 14:51:35,65.9702,-18.5286,51.73,85,100,4.36
38,Ambanja,MG,2021-07-14 14:51:36,-13.6833,48.45,80.53,77,0,1.12
39,Tiksi,RU,2021-07-14 14:51:36,71.6872,128.8694,42.75,63,35,19.37
40,Cape Town,ZA,2021-07-14 14:49:31,-33.9258,18.4232,59.11,53,20,1.01
41,Provideniya,RU,2021-07-14 14:51:36,64.3833,-173.3,48.38,90,64,7.23
42,Ancud,CL,2021-07-14 14:51:37,-41.8697,-73.8203,47.73,88,85,9.48
43,Verkhnetulomskiy,RU,2021-07-14 14:51:37,68.6073,31.7962,57.33,70,97,10.22
44,Havelock,US,2021-07-14 14:51:37,34.8791,-76.9013,86.05,76,54,4.0
45,Husavik,IS,2021-07-14 14:51:38,66.0449,-17.3389,51.71,74,100,2.68
46,Port Alfred,ZA,2021-07-14 14:51:38,-33.5906,26.891,60.8,35,0,7.47
47,Srednekolymsk,RU,2021-07-14 14:51:38,67.45,153.6833,50.36,68,44,7.16
48,Poum,NC,2021-07-14 14:51:39,-20.2333,164.0167,70.29,67,25,19.08
49,Upernavik,GL,2021-07-14 14:51:39,72.7868,-56.1549,37.96,94,100,12.57
50,Kulob,TJ,2021-07-14 14:51:39,37.9145,69.783,92.16,24,0,2.24
51,Bredasdorp,ZA,2021-07-14 14:51:40,-34.5322,20.0403,60.12,51,21,8.05
52,Sangar,RU,2021-07-14 14:51:40,63.9242,127.4739,59.49,78,33,5.21
53,Jamestown,US,2021-07-14 14:51:40,42.097,-79.2353,72.72,87,90,4.0
54,Waingapu,ID,2021-07-14 14:51:41,-9.6567,120.2641,72.16,80,15,9.46
55,Carutapera,BR,2021-07-14 14:51:41,-1.195,-46.02,85.55,61,37,8.34
56,Inhambane,MZ,2021-07-14 14:51:41,-23.865,35.3833,71.58,60,75,11.99
57,Watrous,CA,2021-07-14 14:51:42,51.6668,-105.4679,64.18,68,39,5.75
58,Lompoc,US,2021-07-14 14:51:42,34.6391,-120.4579,66.09,85,90,3.44
59,Esperance,AU,2021-07-14 14:51:42,-33.8667,121.9,53.44,67,11,27.49
60,Porto Novo,BJ,2021-07-14 14:51:43,6.4965,2.6036,84.02,63,92,12.46
61,Biltine,TD,2021-07-14 14:51:43,14.5333,20.9167,94.82,33,99,5.91
62,Cidreira,BR,2021-07-14 14:51:43,-30.1811,-50.2056,65.55,70,100,3.8
63,Medicine Hat,CA,2021-07-14 14:51:44,50.0501,-110.6683,73.22,53,90,1.99
64,Beira,MZ,2021-07-14 14:51:44,-19.8436,34.8389,75.29,78,75,18.01
65,Sitka,US,2021-07-14 14:51:44,57.0531,-135.33,53.49,87,90,0.0
66,Isiro,CD,2021-07-14 14:51:45,2.7739,27.616,79.5,62,100,2.17
67,Lagoa,PT,2021-07-14 14:51:45,39.05,-27.9833,69.13,81,99,14.43
68,Rio Grande,BR,2021-07-14 14:51:45,-32.035,-52.0986,60.91,93,100,11.74
69,Jizan,SA,2021-07-14 14:51:46,17.3333,42.6667,94.14,45,92,11.63
70,Hualmay,PE,2021-07-14 14:51:46,-11.0964,-77.6139,65.32,77,81,8.23
71,Port Harcourt,NG,2021-07-14 14:51:46,4.7774,7.0134,82.49,71,82,9.75
72,Egvekinot,RU,2021-07-14 14:51:47,66.3167,-179.1667,45.27,86,53,3.8
73,Keningau,MY,2021-07-14 14:51:47,5.3378,116.1602,73.85,99,100,1.72
74,Davila,PH,2021-07-14 14:51:47,18.4726,120.5763,82.02,79,100,5.7
75,Saskylakh,RU,2021-07-14 14:51:48,71.9167,114.0833,40.8,78,100,19.15
76,Hermanus,ZA,2021-07-14 14:51:48,-34.4187,19.2345,58.8,67,60,11.81
77,Naze,JP,2021-07-14 14:51:48,28.3667,129.4833,78.67,86,100,8.72
78,Sao Joao Da Barra,BR,2021-07-14 14:51:49,-21.6403,-41.0511,78.89,70,51,9.95
79,Kailua,US,2021-07-14 14:51:49,21.4022,-157.7394,78.78,74,90,9.22
80,Pevek,RU,2021-07-14 14:51:49,69.7008,170.3133,36.18,96,100,2.53
81,Torbay,CA,2021-07-14 14:51:50,47.6666,-52.7314,73.76,61,40,12.66
82,Mizdah,LY,2021-07-14 14:51:50,31.4451,12.9801,105.49,11,0,12.37
83,Xucheng,CN,2021-07-14 14:51:50,20.35,110.1288,81.3,78,7,14.23
84,Kaitangata,NZ,2021-07-14 14:51:51,-46.2817,169.8464,47.93,67,100,8.5
85,Panaba,MX,2021-07-14 14:51:51,21.2833,-88.2667,89.83,52,82,11.68
86,Kazerun,IR,2021-07-14 14:51:51,29.6195,51.6541,95.4,15,5,7.76
87,Monki,PL,2021-07-14 14:51:52,53.405,22.7979,85.82,55,9,3.53
88,Hilo,US,2021-07-14 14:51:44,19.7297,-155.09,74.28,88,75,0.0
89,Longyearbyen,SJ,2021-07-14 14:51:52,78.2186,15.6401,42.64,81,75,6.91
90,Oloron-Sainte-Marie,FR,2021-07-14 14:51:52,43.1944,-0.6107,67.93,83,94,5.64
91,Panama City,PA,2021-07-14 14:51:53,8.9936,-79.5197,84.15,80,40,3.44
92,Zalantun,CN,2021-07-14 14:51:53,48.0,122.7167,73.22,97,90,6.35
93,Tutoia,BR,2021-07-14 14:51:53,-2.7619,-42.2744,87.78,56,17,8.23
94,Arzgir,RU,2021-07-14 14:51:54,45.3728,44.2206,91.38,19,1,10.63
95,Hobart,AU,2021-07-14 14:51:54,-42.8794,147.3294,49.12,95,96,1.01
96,Sao Filipe,CV,2021-07-14 14:51:54,14.8961,-24.4956,75.22,84,34,8.12
97,Kloulklubed,PW,2021-07-14 14:51:55,7.0419,134.2556,82.11,78,100,8.23
98,Kyshtovka,RU,2021-07-14 14:51:55,56.555,76.6271,62.82,95,100,4.97
99,Izhma,RU,2021-07-14 14:51:55,65.0083,53.9113,69.49,51,100,3.13
100,Kargasok,RU,2021-07-14 14:51:56,59.0556,80.8572,67.12,90,84,10.4
101,Tilichiki,RU,2021-07-14 14:51:56,60.4667,166.1,52.68,87,72,2.26
102,Kizema,RU,2021-07-14 14:51:57,61.113,44.8302,78.66,53,22,3.8
103,Khanpur,PK,2021-07-14 14:51:57,28.6453,70.6567,103.89,32,42,9.78
104,Songea,TZ,2021-07-14 14:51:57,-10.6833,35.65,69.49,58,97,5.61
105,Hofn,IS,2021-07-14 14:51:58,64.2539,-15.2082,50.02,93,90,11.5
106,Saint-Georges,GD,2021-07-14 14:51:58,12.0564,-61.7485,85.68,70,75,17.27
107,Baruun-Urt,MN,2021-07-14 14:51:58,46.6806,113.2792,74.88,45,100,9.91
108,Sao Felix Do Xingu,BR,2021-07-14 14:51:59,-6.6447,-51.995,92.44,26,5,6.64
109,Nouadhibou,MR,2021-07-14 14:51:59,20.931,-17.0347,78.78,65,10,16.11
110,Kamenka,RU,2021-07-14 14:51:59,51.3223,42.7678,81.64,49,66,4.34
111,Churapcha,RU,2021-07-14 14:52:00,62.0025,132.4325,61.72,69,0,7.36
